web-scraper-order,web-scraper-start-url,links,links-href,role name,place,description,job number,pages,pages-href
1686077907-14,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Markting Sciences Senior Analyst/Consultant,https://www.totaljobs.com/job/senior-analyst-consultant/datatech-analytics-job100463794,Markting Sciences Senior Analyst/Consultant,,"Marketing Sciences Consultant/Senior Analyst - Hybrid/2 days in South East London office - £35,000 - £60,000 negotiable on skills & experience - J12541

This is a mid-level role that provides an exciting opportunity for someone experienced in Marketing Mix Modelling and data science to join a highly talented marketing intelligence team. You will have a can-do attitude, polished project management skills and a strong analytical and statistical background. You should be capable of running projects from brief to delivery, managing junior staff and taking responsibility for the quality of your work.

Requirements
• Commercial awareness, with responsibility for delivering the marketing intelligence revenue target
• Help leading and developing client relationships to ensure we establish a role as a trusted partner
• Develop strong relationships across the agencies varies teams, acting as the expert for your field
• Excellent communication and presentation skills 
• Be able to translate all data and analytical outcomes to a real-world application generating commercial benefit to clients
• Be confident pitching analytics as a stand alone service as well as part of a wider media or data, technology and analytics solution

Essential Profile
• 5+ years knowledge and experience with: Marketing Mixed Models, digital attribution, classical and Bayesian statistics and simulation techniques.
• Experience with one or more Data Science languages: R essential, Python desirable. 
• Comfortable with cloud-based platforms and query languages (SQL): AWS and GCP
• Strong data visualisation skills - ideally R Shiny and Markdown 
• Experience with media data, with experience with platforms and customer data from either the media agency, technology or brand side. 
• An understanding of digital media, ad tech and programmatic an advantage
• Understanding of EU Data Privacy laws an advantage
• Proven leader and all-round strong manager who creates cohesive, motivated and effective teams

If this sounds like the role for you then please apply today! 
Alternatively, you can refer a friend or colleague by taking part in our fantastic referral schemes! If you have a friend or colleague who would be interested in this role, please refer them to us. For each relevant candidate that you introduce to us (there is no limit) and we place, you will be entitled to our general gift/voucher scheme.

Datatech is one of the UK's leading recruitment agencies in the field of analytics and host of the critically acclaimed event, Women in Data. For more information, visit our website: www.datatech.org.uk",Job ID: 100463794,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077911-15,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Analytics Consultant,https://www.totaljobs.com/job/analytics-consultant/wpp-job100538376,Analytics Consultant,"London, South East","Description
 
 Position at mSix&Partners
 Who is mSix&Partners 
 mSix&Partners is the fastest growing media network in the world. We have marked the chapters of our expansion with new client relationships: TalkTalk helped us open our doors in the UK, Toyota enabled us to grow into EMEA and EA has strengthened our presence and offering in APAC and North America. Today we have 49 offices operating in 41 markets, and this role of Analytics Manager is key to our continued growth and success.
 
 Our business is Built to Pioneer:
 
 mSix&Partners is a joint venture between independent creative agency The&Partnership and WPP, the world's largest advertising group, drawing on the best of both worlds. Because of this unique structure, we create new operating models that integrate agency functions and often embed our people into our clients' marketing teams. Our ability to come together with our clients, regardless of whether co-located or working remotely, has proven critical to our success. We have grown 31% in terms of billings and 51% in terms of net sales year to date, versus 2020. Over the past year, there have been an impressive 9 new business wins  in the UK. 
 The way we behave - Honest, Energetic and Pioneering  :",Job ID: 100538376,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077916-16,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,"Data Science Manager, Borrowing",https://www.totaljobs.com/job/data-science-manager/monzo-job100412704,"Data Science Manager, Borrowing",,"??London/Anywhere (UK) 
 
About us: 
 
 We're here to make money work for everyone and we're doing things differently. For too long, banking has been obtuse, complex and opaque. 
 
 We want to change that and build a bank with everyone, for everyone. Our amazing community suggests features, test the app and give us constant feedback so we can build something everyone loves. 
 
 We're focused on solving problems, rather than selling financial products. We want to make the world a better place and change people's lives through Monzo. 
 
About our Data Science, Borrowing team:
 
 We're looking for a Data Science Manager to help our product teams build the bank of the future. The growth of Borrowing products is a key component of achieving Monzo's mission to make money work for everyone. 
 
 You'll have the opportunity to lead a team of Data Scientists across our Borrowing Collective. You'll champion the use of data, bring ideas to life through rigorous experimentation and A/B testing. You'll help us get the most out of volumes of cloud native data, spotting opportunities to make each area of our product work even better for our users. 
 
 You'll help your team grow, hiring new team members and supporting their personal development. Your team will drive product innovation and you'll get to see the impact of all your work in the product changes we make. You will be responsible for delivering business values across Overdrafts, Loans and Monzo Flex (+ the new products that are currently in development), working closely with our Credit specialists, a Modelling team, Backend Engineers, and Product Managers. 
 
 We work in cross-functional products squads, but each Data Scientist is also a member of our central Data Discipline. This allows our people to get fully embedded into the detail and decision-making of a given product, whilst having the backup of all the other Data Scientists across Monzo when it's needed. 
 

As part of your role, you'll:",Job ID: 100412704,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077920-17,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Data Graduate,https://www.totaljobs.com/job/data-graduate/itecco-limited-job100364740,Data Graduate,,,Job ID: 100364740,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077923-18,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Data Engineer,https://www.totaljobs.com/job/data-engineer/itecco-limited-job100363350,Data Engineer,,,Job ID: 100363350,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077926-19,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Associate RWD Solution Consultant,https://www.totaljobs.com/job/solution-consultant/popscience-limited-job100349755,Associate RWD Solution Consultant,,,Job ID: 100349755,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077929-20,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Lead Data Engineer (Home Based),https://www.totaljobs.com/job/lead-data-engineer/sanderson-recruitment-job100313879,Lead Data Engineer (Home Based),,,Job ID: 100313879,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077933-21,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Operations Manager,https://www.totaljobs.com/job/operations-manager/recruitment-game-changers-ltd-job100307395,Operations Manager,"South East London (SE1), South East London",,Job ID: 100307395,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077935-22,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,"Data Science Manager, Borrowing",https://www.totaljobs.com/job/data-science-manager/monzo-bank-limited-job100384366,"Data Science Manager, Borrowing","London, South East",,Job ID: 100384366,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077938-23,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Head of Business Intelligence,https://www.totaljobs.com/job/head-of-business-intelligence/itecco-limited-job100299699,Head of Business Intelligence,,,Job ID: 100299699,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077942-24,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Team Lead - Performance Marketing Analytics,https://www.totaljobs.com/job/team-lead-marketing/totaljobs-marketing-job100393521,Team Lead - Performance Marketing Analytics,,Company Description,Job ID: 100393521,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077945-25,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Senior Data Engineer,https://www.totaljobs.com/job/senior-data-engineer/bie-executive-ltd-job100384711,Senior Data Engineer,,,Job ID: 100384711,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077948-26,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Senior Data Analyst,https://www.totaljobs.com/job/senior-data-analyst/ecruit-job100333343,Senior Data Analyst,"London, South East",,Job ID: 100333343,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077951-27,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Data Architect,https://www.totaljobs.com/job/data-architect/actica-consulting-limited-job100336771,Data Architect,"South East, UK",,Job ID: 100336771,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077954-28,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,FinTech CTO,https://www.totaljobs.com/job/cto/in-technology-group-limited-job100454900,FinTech CTO,"London, South East",,Job ID: 100454900,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077957-29,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Pricing Manager,https://www.totaljobs.com/job/pricing-manager/hastings-direct-job100426157,Pricing Manager,"London, South East",,Job ID: 100426157,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077960-30,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Data Strategy Manager – CRM,https://www.totaljobs.com/job/data-manager/blue-pelican-group-job100406025,Data Strategy Manager – CRM,,,Job ID: 100406025,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077964-31,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Senior Data Analytics Consultant MSBI,https://www.totaljobs.com/job/senior-data-analytics-consultant/blue-pelican-group-job100368736,Senior Data Analytics Consultant MSBI,"City of London (EC2), City of London",,Job ID: 100368736,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077967-32,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Senior Software Tester/Data Quality Analyst - Compliance/Crypto,https://www.totaljobs.com/job/senior-software-tester/ntrinsic-consulting-europe-limited-job100395226,Senior Software Tester/Data Quality Analyst - Compliance/Crypto,"North London (N1), North London",,Job ID: 100395226,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077970-33,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Financial Analyst (Technical),https://www.totaljobs.com/job/financial-analyst/revolut-job100338900,Financial Analyst (Technical),"London, South East","About Revolut

People deserve more from their money. More visibility, more control, more freedom. And since 2015, Revolut has been on a mission to deliver just that. With an arsenal of awesome products that span spending, saving, travel, transfers, investing, exchanging and more, our super app has helped 28+ million customers get more from their money. And we're not done yet.

As we continue our lightning-fast growth, we believe that two things are essential to continuing our success: our people and our culture. So far, we have 6000+ people working around the world, from our great offices or remotely, on our mission. And we're looking for more. We want brilliant people that love building great products, love redefining success, and love turning the complexity of a chaotic world into the simplicity of a beautiful solution.

About the role

The Finance team is an important part of every business. But not at Revolut - the global financial super app leans on its Finance team.

They're more than ""an important part of business"" - they're our backbone 

Internal accounting? Yeah, that's good for a start. Supporting all areas of the company and assessing financial implications from various key strategic decisions and growth opportunities - this is what those peep do all day long 

Now, a challenge. Put a finger down if:

- You go on and on about strategy in a random family lunch

- You're passionate about financial growth

- You'd like to make an impact in a global, disruptive Fintech! 

If you've put at least one finger down, we've got the perfect challenge for you. We're building a world-class Finance & Strategy team from scratch to steer the company's boat through the next phase of growth 

Up for the challenge? Let's get in touch

What you'll be doing",Job ID: 100338900,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077973-34,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Senior Data Scientist,https://www.totaljobs.com/job/senior-data-scientist/totaljobs-group-tech-job100318796,Senior Data Scientist,,Company Description,Job ID: 100318796,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077976-35,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,"GBM, Oil Trading Strategist, VP, London",https://www.totaljobs.com/job/strategist/goldman-sachs-job100345575,"GBM, Oil Trading Strategist, VP, London","London, South East","Job Description

JOB DESCRIPTION

Our core value is building strong relationships with our institutional clients, which include corporations, financial service providers, and fund managers. We help them buy and sell financial products on exchanges around the world, raise funding, and manage risk. This is a dynamic, entrepreneurial team that includes individuals who have a passion for the markets and who thrive in fast-paced, changing environments and are energized by a bustling trading floor.

At Goldman Sachs, our culture is one of teamwork, innovation and meritocracy. We often say our people are our greatest asset and we take pride in supporting each colleague both professionally and personally.

BUSINESS SEGMENT AND ROLE OVERVIEW

Equities and FICC: We make markets in and clear client transactions on major stock, options and futures exchanges worldwide. Through our global sales force, we maintain relationships with our clients, receiving orders and distributing investment research, trading ideas, market information and analysis.

THE TEAM 

The Commodities Oil & Products trading desk market makes in a variety of energy products as part of a global team. On a day-to-day basis, team members will be expected to price and execute derivatives transactions, stay connected with market events across commodity markets, and work with the wider team to support and build the overall business.

THE ROLE

This role will be embedded within the Global Oil Products Trading team and operating in partnership with commercial stakeholders in NY, London, Singapore and Tokyo, you will use analysis of energy market fundamentals and other price drivers to form a market views and influence risk deployment in crude and oil products. Recognized as holding relevant expertise in energy markets and quantitative methods you will provide new insights through innovative analysis, challenge the status quo, and contribute to ""competitive edge"" strategic thinking.

You will develop networks that stretch cross-geography in order to leverage the full suite of skills and capabilities that reside within our strong multidisciplinary trading team, connecting analysis and information.

Job Summary & Responsibilities",Job ID: 100345575,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077979-36,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Internal Comms Coordinator,https://www.totaljobs.com/job/coordinator/ten2two-ltd-job100349293,Internal Comms Coordinator,"City of London (EC1A), City of London","Job Description

JOB DESCRIPTION

Our core value is building strong relationships with our institutional clients, which include corporations, financial service providers, and fund managers. We help them buy and sell financial products on exchanges around the world, raise funding, and manage risk. This is a dynamic, entrepreneurial team that includes individuals who have a passion for the markets and who thrive in fast-paced, changing environments and are energized by a bustling trading floor.

At Goldman Sachs, our culture is one of teamwork, innovation and meritocracy. We often say our people are our greatest asset and we take pride in supporting each colleague both professionally and personally.

BUSINESS SEGMENT AND ROLE OVERVIEW

Equities and FICC: We make markets in and clear client transactions on major stock, options and futures exchanges worldwide. Through our global sales force, we maintain relationships with our clients, receiving orders and distributing investment research, trading ideas, market information and analysis.

THE TEAM 

The Commodities Oil & Products trading desk market makes in a variety of energy products as part of a global team. On a day-to-day basis, team members will be expected to price and execute derivatives transactions, stay connected with market events across commodity markets, and work with the wider team to support and build the overall business.

THE ROLE

This role will be embedded within the Global Oil Products Trading team and operating in partnership with commercial stakeholders in NY, London, Singapore and Tokyo, you will use analysis of energy market fundamentals and other price drivers to form a market views and influence risk deployment in crude and oil products. Recognized as holding relevant expertise in energy markets and quantitative methods you will provide new insights through innovative analysis, challenge the status quo, and contribute to ""competitive edge"" strategic thinking.

You will develop networks that stretch cross-geography in order to leverage the full suite of skills and capabilities that reside within our strong multidisciplinary trading team, connecting analysis and information.

Job Summary & Responsibilities",Job ID: 100349293,5,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=5
1686077988-37,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Head of Data Engineering,https://www.totaljobs.com/job/data-engineer/mirai-tech-recruitment-job100455139,Head of Data Engineering,"City of London (EC3), City of London","Job Description

JOB DESCRIPTION

Our core value is building strong relationships with our institutional clients, which include corporations, financial service providers, and fund managers. We help them buy and sell financial products on exchanges around the world, raise funding, and manage risk. This is a dynamic, entrepreneurial team that includes individuals who have a passion for the markets and who thrive in fast-paced, changing environments and are energized by a bustling trading floor.

At Goldman Sachs, our culture is one of teamwork, innovation and meritocracy. We often say our people are our greatest asset and we take pride in supporting each colleague both professionally and personally.

BUSINESS SEGMENT AND ROLE OVERVIEW

Equities and FICC: We make markets in and clear client transactions on major stock, options and futures exchanges worldwide. Through our global sales force, we maintain relationships with our clients, receiving orders and distributing investment research, trading ideas, market information and analysis.

THE TEAM 

The Commodities Oil & Products trading desk market makes in a variety of energy products as part of a global team. On a day-to-day basis, team members will be expected to price and execute derivatives transactions, stay connected with market events across commodity markets, and work with the wider team to support and build the overall business.

THE ROLE

This role will be embedded within the Global Oil Products Trading team and operating in partnership with commercial stakeholders in NY, London, Singapore and Tokyo, you will use analysis of energy market fundamentals and other price drivers to form a market views and influence risk deployment in crude and oil products. Recognized as holding relevant expertise in energy markets and quantitative methods you will provide new insights through innovative analysis, challenge the status quo, and contribute to ""competitive edge"" strategic thinking.

You will develop networks that stretch cross-geography in order to leverage the full suite of skills and capabilities that reside within our strong multidisciplinary trading team, connecting analysis and information.

Job Summary & Responsibilities",Job ID: 100455139,4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=4
1686077991-38,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Content Aggregation Consultant (m/f/d),https://www.totaljobs.com/job/consultant/totaljobs-group-job100354794,Content Aggregation Consultant (m/f/d),,"Job Description

JOB DESCRIPTION

Our core value is building strong relationships with our institutional clients, which include corporations, financial service providers, and fund managers. We help them buy and sell financial products on exchanges around the world, raise funding, and manage risk. This is a dynamic, entrepreneurial team that includes individuals who have a passion for the markets and who thrive in fast-paced, changing environments and are energized by a bustling trading floor.

At Goldman Sachs, our culture is one of teamwork, innovation and meritocracy. We often say our people are our greatest asset and we take pride in supporting each colleague both professionally and personally.

BUSINESS SEGMENT AND ROLE OVERVIEW

Equities and FICC: We make markets in and clear client transactions on major stock, options and futures exchanges worldwide. Through our global sales force, we maintain relationships with our clients, receiving orders and distributing investment research, trading ideas, market information and analysis.

THE TEAM 

The Commodities Oil & Products trading desk market makes in a variety of energy products as part of a global team. On a day-to-day basis, team members will be expected to price and execute derivatives transactions, stay connected with market events across commodity markets, and work with the wider team to support and build the overall business.

THE ROLE

This role will be embedded within the Global Oil Products Trading team and operating in partnership with commercial stakeholders in NY, London, Singapore and Tokyo, you will use analysis of energy market fundamentals and other price drivers to form a market views and influence risk deployment in crude and oil products. Recognized as holding relevant expertise in energy markets and quantitative methods you will provide new insights through innovative analysis, challenge the status quo, and contribute to ""competitive edge"" strategic thinking.

You will develop networks that stretch cross-geography in order to leverage the full suite of skills and capabilities that reside within our strong multidisciplinary trading team, connecting analysis and information.

Job Summary & Responsibilities",Job ID: 100354794,4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=4
1686077994-39,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,R&D Engineer,https://www.totaljobs.com/job/r-d-engineer/bbc-job100480059,R&D Engineer,,"Job Introduction
At BBC R&D, we create innovative ways to inform and entertain our audiences using the latest technology. 
 
 We are currently looking for a talented R&D Engineer to join us in shaping video compression and delivery solutions of the future. 
 
 BBC R&D has a worldwide reputation for contributing to, and leading, the engineering, research and development of many of the key broadcast and media technologies. The research work is mainly on new technologies which are expected to be rolled out over a 1 to 5 years timescale and require both in depth theoretical knowledge and a practical approach to potential deployment. BBC R&D is based in two main labs, one in London and one in MediaCityUK, Salford. 

Mission, Culture & Purpose
BBC Research & Development's mission is to explore and develop innovative technologies that transform the BBC and the wider media industry, supporting and shaping the BBC's mission and ambitions. 
 
 Our purpose is to consider the wider technology environment, imagine and explore solutions based on people's needs and values, and create opportunities for the BBC and media industry to use technology to thrive. 
 
 We strive for an inclusive, open, collaborative, and engaged culture. We aim to build on our common values to provide a safe, shared and supportive space for exploration, problem solving, and world-class innovation. We champion everyone's creativity and technical excellence. 
 
 In May 2022 the BBC announced plans to accelerate the BBC's journey to become Digital First by reshaping our content and services. In our mission to deliver value for all, BBC Research & Development's role to continually explore and predict how media technology will evolve and how this will impact audiences is paramount to the BBC's future success. 
 
 Research & Development (R&D) is at the heart of the BBC's digital transformation. It delivers innovation at scale and pace to provide a sustainable foundation for the future BBC as well as adding tangible value to the wider UK media industry. The R&D department is nearly as old as the BBC and has been integral to the development of technologies including digital television and radio, Freeview, BBC iPlayer, and High Definition. In more recent years it has been key to the evolution and industry direction of technologies like High Dynamic Range, Next Generation Audio and Voice, as well as digital education through the development of the BBC micro:bit and the award-winning Civilisations Augmented Reality app. 
 
 We have five applied research areas focussed on Audiences, Automation, Distribution, Infrastructure and Production who are looking to solve some of the most interesting challenges in Media and Broadcasting; as well as our Commercial, Partnerships & Engagement team who ensure we're collaborating with the right external partners and optimising commercial returns through the exploitation of our Intellectual Property and grant funding. Our work supports the BBC's current ambition as well as informing future strategy. If you're excited by the prospect of working in an innovative environment with smart and supportive colleagues, then BBC R&D is the place for you. 

Main Responsibilities
You will be part of a collaborative team focused on investigating and developing new technology for video compression, video streaming and video quality assessment. As part of your role you will:",Job ID: 100480059,4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=4
1686077997-40,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Python Developer,https://www.totaljobs.com/job/python-developer/london-stock-exchange-job100505129,Python Developer,"London, South East","Quantile offers market-leading optimisation services that reduce counterparty risk, notional and capital requirements to increase the efficiency and liquidity of derivatives markets, improve returns for clients, and make the financial system safer.

We are part of LSEG's Post Trade division, where we connect a network of participants and use advanced algorithms to reduce risk and release capital. Since launch, our services have eliminated trillions of dollars of gross notional through interest rate compression and billions of dollars in initial margin and capital requirements through counterparty risk optimisation.

Our clients, including all the top tier global banks, regional banks, buy-side firms and other large institutional market participants, are serviced from offices in London, New York and Amsterdam - with Tokyo coming soon.

We are seeking a Product Manager to join our team. The ideal candidate will contribute to the design of new products, continuously enhance existing products/services, work with the engineering team to ensure product enhancements are delivered to clients, and communicate effectively with clients regarding product features and optimization results.

 Key Responsibilities:",Job ID: 100505129,4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=4
1686078000-41,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Junior IT Support Analyst,https://www.totaljobs.com/job/junior-it-support-analyst/understanding-recruitment-ltd-job100483294,Junior IT Support Analyst,,,Job ID: 100483294,4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=4
1686078003-42,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Jr. Software Tester/Data Quality Analyst - Compliance/Crypto,https://www.totaljobs.com/job/software-tester/ntrinsic-consulting-europe-limited-job100421524,Jr. Software Tester/Data Quality Analyst - Compliance/Crypto,"North London (N1), North London",,Job ID: 100421524,4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=4
1686078006-43,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Intermediate Java Developer,https://www.totaljobs.com/job/java-developer/understanding-recruitment-ltd-job100484562,Intermediate Java Developer,,,Job ID: 100484562,4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=4
1686078009-44,https://www.totaljobs.com/jobs/data-science/in-london?radius=0,Python Developer,https://www.totaljobs.com/job/python-engineer/omnicom-job100405392,Python Developer,,"About the Role 

OMD EMEA are looking for an python developer to contribute towards a growing set of data science platforms, which power media strategy for a prestigious client. 

At OMD, our purpose is to help clients grow their businesses. We do this by leveraging our expertise, creativity and clout to develop and deliver robust communications investment plans that stimulate demand for their products and services and desire for their brands. Understanding the dynamics and levers within this challenge has never been more possible through the abundance of data available and the technology to allow its exploitation. 

This is an active position in the data science team of 15 data scientists and econometricians at OMD. We are looking for a dynamic team player to join OMD EMEA to help us design and deliver a market leading approach to using advanced analytics and machine learning , in order to exploit data and technology available, which will deliver a competitive advantage for our agency and our clients. 

The ideal candidate will have a curious and independent nature and have a passion for python engineering and cloud infrastructure. You should have a solid understanding of object orientated programming and a proven ability to work well with others, to ensure that the products being developed across the whole team are at the highest standard. You will additionally need to be able to demonstrate keen problem solving capabilities and patience as they mix new projects with updating legacy code. 

About You",Job ID: 100405392,4,https://www.totaljobs.com/jobs/data-science/in-london?radius=0&page=4
